Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
05511N59RG00,LEFT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05511N59VM00,LEFT PROTECTIVE PANEL STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05511N89X901,LEFT PROTECTIVE PANEL DECAL,SRV 250 AMT,11410,1255,12665,MEDIUM,BODY,1
05511PC20001,3D HARD LABEL FOR PROTECTIVE BOARD,SRV 600 V,34230,3765,37995,MEDIUM,OTHER,1
05511PCZ0000,CRYSTAL LOGO IN FRONT OF THE UPPER PROTECTIVE PLATE,SRV 250 AL (LIBERO),17120,1883,19003,MEDIUM,OTHER,1
05511PCZBL02,LEFT LOWER PROTECTIVE PANEL DECAL,SRV 250 AL (LIBERO),17120,1883,19003,MEDIUM,BODY,1
05511PCZJE02,LEFT LOWER PROTECTIVE PANEL DECAL,SRV 250 AL (LIBERO),17120,1883,19003,MEDIUM,BODY,1
05511PCZNJ02,LEFT LOWER PROTECTIVE PANEL DECAL,SRV 250 AL (LIBERO),17120,1883,19003,MEDIUM,BODY,1
05512KAEBL00,RIGHT PROTECTIVE PLATE DECAL I,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05512KAEH500,RIGHT PROTECTIVE PLATE DECAL I,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05512KAERG00,RIGHT PROTECTIVE PLATE DECAL I,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05512KAES600,RIGHT PROTECTIVE PLATE DECAL I,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05512KAEWS00,RIGHT PROTECTIVE PLATE DECAL I,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05512M79E703,RIGHT PROTECTIVE PLATE DECAL I,AX 180  (VIENTO) ABS,5710,628,6338,MEDIUM,BODY,1
05512M79H500,RIGHT PROTECTIVE PLATE DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05512M79K500,RIGHT PROTECTIVE PLATE DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05512M79RG03,RIGHT PROTECTIVE PLATE DECAL I,AX 180  (VIENTO) ABS,5710,628,6338,MEDIUM,BODY,1
05512M79VM03,RIGHT PROTECTIVE PLATE DECAL I,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05512M79WS03,RIGHT PROTECTIVE PLATE DECAL I,AX 180  (VIENTO) CBS,5710,628,6338,MEDIUM,BODY,1
