Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
269136680000,CHAIN GUIDE PLATE ASSEMBLY,SRK 800 RR,22820,2510,25330,FAST,DRIVE,1
269146520000,BOLT GASKET COMBINATION,SRK 800 RR,5710,628,6338,FAST,FASTENER,1
269166520000,SEAL RING,SRV 600 V,5710,628,6338,FAST,FASTENER,1
269176680000,RELIEF VALVE ASSEMBLY,SRK 800 RR,79860,8784,88644,MEDIUM,ENGINE,1
269176900000,COARSE OIL FILTER,SRV 600 V,34230,3765,37995,FAST,ENGINE,1
269256600000,OIL FILTER,SRV 600 V,51340,5647,56987,FAST,ENGINE,1
26926668BY01,OIL PAN,SRK 800 RR,336530,37018,373548,FAST,OIL_FLUID,1
269306680000,OIL COARSE FILTER,SRK 800 RR,79860,8784,88644,FAST,ENGINE,1
269346680000,OIL COOLER ASSEMBLY,SRK 800 RR,775710,85328,861038,FAST,OIL_FLUID,1
269366680000,OIL COOLER BOLTS,SRK 800 RR,79860,8784,88644,FAST,OIL_FLUID,1
269466680000,OXYGEN SENSOR BRACKET WELDMENT,SRK 800 RR,17120,1883,19003,MEDIUM,ELECTRICAL,1
270014590000,WATER TEMPERATURE SENSOR,SRV 250 AMT,79860,8784,88644,MEDIUM,ELECTRICAL,1
270025050000,PIN SHAFT,FORD 250,5710,628,6338,SLOW,OTHER,1
270036030000,COMBINED GASKET,SRK 800 RR,5710,628,6338,FAST,FASTENER,1
27003690BG01,THERMOSTAT PUMP BODY,SRV 600 V,62750,6902,69652,MEDIUM,COOLING,1
27005690BG01,THERMOSTAT COVER,SRV 600 V,45630,5019,50649,MEDIUM,BODY,1
270066900000,SPILE,SRV 600 V,11410,1255,12665,MEDIUM,OTHER,1
270075050000,WASHER,FORD 250,5710,628,6338,FAST,FASTENER,1
270125060020,STAINLESS STEEL CLAMP ? 25,FORD 250,5710,628,6338,FAST,ELECTRICAL,1
270126900000,FROT CYLINDER OUTLET PIPE,SRV 600 V,17120,1883,19003,SLOW,ENGINE,1
270136900000,REAR CYLINDER OUTLET PIPE,SRV 600 V,17120,1883,19003,SLOW,ENGINE,1
270144410000,FAN,SRV 250 AMT,484820,53330,538150,MEDIUM,COOLING,1
270156900000,CLAMP 26,SRV 600 V,5710,628,6338,FAST,ELECTRICAL,1
270226060000,FILLER CAP,FORD 250,51340,5647,56987,MEDIUM,OTHER,1
270265050000,FILLER CAP SUBASSEMBLY,SRV 250 AMT,51340,5647,56987,MEDIUM,OTHER,1
27097505001X,BUSHING,FORD 250,5710,628,6338,MEDIUM,SUSPENSION,1
271005050010,PUMP GEAR SUBASSEMBLY,FORD 250,62750,6902,69652,MEDIUM,DRIVE,1
27149N510000,WATER FILLING PORT,FORD 250,11410,1255,12665,MEDIUM,OTHER,1
279026030042,FAN ASSEMBLY 2,SRK 800 RR,815640,89720,905360,MEDIUM,COOLING,1
279026350001,FAN ASSEMBLY 2,SRV 600 V,815640,89720,905360,MEDIUM,COOLING,1
279125430000,WATER TANK ASSEMBLY,FORD 250,1494390,164382,1658772,SLOW,BODY,1
279126590001,WATER TANK ASSEMBLY,SRV 250 AMT,1511500,166265,1677765,SLOW,BODY,1
279126680000,WATER TANK ASSEMBLY,SRK 800 RR,3165590,348214,3513804,SLOW,BODY,1
279126900000,WATER TANK COMPONENTS,SRV 600 V,2389880,262886,2652766,SLOW,BODY,1
279136590001,WATER TANK WELDING ASSEMBLY,SRV 250 AMT,1363200,149952,1513152,SLOW,BODY,1
279136680000,WELDING COMPONENTS OF WATER TANK,SRK 800 RR,1876540,206419,2082959,SLOW,BODY,1
279136900000,WELDING COMPONENTS OF WATER TANK,SRV 600 V,1711130,188224,1899354,SLOW,BODY,1
279156530000,WATER TEMPERATURE REGULATOR GROUP,SRV 600 V,119780,13175,132955,MEDIUM,OTHER,1
279166460000,THERMOSTAT,FORD 250,91260,10038,101298,MEDIUM,COOLING,1
279166590000,THERMOSTAT,SRV 250 AMT,102670,11293,113963,MEDIUM,COOLING,1
279186590000,WATER INLET ASSEMBLY,SRV 250 AMT,51340,5647,56987,MEDIUM,OTHER,1
279186590010,WATER INLET SEAT COMPONENT,SRV 600 V,85560,9411,94971,MEDIUM,BODY,1
27921659001X,THE IMPELLER,SRV 250 AMT,28520,3137,31657,MEDIUM,OTHER,1
279226590000,WATER PUMP SHAFT,SRV 250 AMT,28520,3137,31657,SLOW,COOLING,1
279236900000,OUTLET PIPE,SRV 600 V,28520,3137,31657,MEDIUM,OTHER,1
279255450000,PUMP SUBASSEMBLY,FORD 250,382160,42037,424197,MEDIUM,OTHER,1
27925668BG01,PUMP ASSY WATER,SRK 800 RR,610310,67134,677444,MEDIUM,OTHER,1
27929690BG00,PUMP ASSY WATER,SRV 600 V,547560,60231,607791,MEDIUM,OTHER,1
279305450000,AIR OUTLET PIPE,FORD 250,28520,3137,31657,MEDIUM,OTHER,1
279316590000,SEAL RING OF PUMP COVER,SRV 250 AMT,11410,1255,12665,FAST,BODY,1
279336060010,CLAMP 21,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
279336590000,IMPELLER GASKET,SRV 250 AMT,85560,9411,94971,FAST,FASTENER,1
279376590000,IMPELLER SEAL WASHER,SRV 250 AMT,22820,2510,25330,FAST,FASTENER,1
279376680000,CLAMP 29,SRK 800 RR,11410,1255,12665,FAST,ELECTRICAL,1
279386680000,CLAMP 31,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
279396590000,WATER SEAL,SRV 250 AMT,222450,24469,246919,FAST,FASTENER,1
279396680000,INLET PIPE ASSEMBLY,SRK 800 RR,74150,8156,82306,MEDIUM,OTHER,1
279406590000,OIL SEAL 10×22×5,SRV 250 AMT,11410,1255,12665,FAST,OIL_FLUID,1
279416680000,OUTLET PIPE ASSEMBLY,SRK 800 RR,79860,8784,88644,MEDIUM,OTHER,1
279424590000,CLAMPS,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
279446590000,GEAR PUMP,SRV 250 AMT,17120,1883,19003,MEDIUM,DRIVE,1
279466520000,THERMOSTAT ASSY,SRK 800 RR,136890,15057,151947,MEDIUM,COOLING,1
279496520000,O-RING 32.95×2.62,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
279505430000,FAN,FORD 250,484820,53330,538150,MEDIUM,COOLING,1
279506520000,CLAMP 27,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
27952659BG00,HOUSING ASSEMBLY UNDER THERMOSTAT,SRV 250 AMT,96970,10666,107636,MEDIUM,COOLING,1
27953659BG00,THERMOSTAT COVER,SRV 250 AMT,34230,3765,37995,MEDIUM,BODY,1
279576590000,THERMOSTAT BYPASS HOSE,SRV 250 AMT,22820,2510,25330,MEDIUM,COOLING,1
279596590000,THERMOSTAT INLET PIPE,SRV 250 AMT,11410,1255,12665,MEDIUM,COOLING,1
279656590000,BUSHING 10×12×5,SRV 250 AMT,11410,1255,12665,MEDIUM,SUSPENSION,1
279706590000,PLATE CLAMP 14,SRV 250 AMT,5710,628,6338,FAST,ELECTRICAL,1
279716590000,WATER PUMP COVER PLUG,SRV 250 AMT,5710,628,6338,FAST,BODY,1
27972659MM01,PUMP COVER,SRV 250 AMT,96970,10666,107636,MEDIUM,BODY,1
280023180000,WASHER,FORD 250,5710,628,6338,FAST,FASTENER,1
280023300000,THROTTLE POSITION SENSOR,FORD 250,279490,30743,310233,MEDIUM,ELECTRICAL,1
280024320000,STEPPER MOTOR,FORD 250,142600,15686,158286,MEDIUM,OTHER,1
28002TAB0000,OXYGEN SENSOR,FORD 250,467710,51448,519158,MEDIUM,ELECTRICAL,1
280036680000,OIL RAIL COMPONENT,SRK 800 RR,313710,34508,348218,FAST,OIL_FLUID,1
280036900000,STEPPING MOTOR,SRV 600 V,171120,18823,189943,MEDIUM,OTHER,1
280046280000,PLATE CLAMP ?9,SRV 600 V,5710,628,6338,FAST,ELECTRICAL,1
280046680000,MOTOR SUPPORT,SRK 800 RR,39930,4392,44322,MEDIUM,OTHER,1
280046900000,STEPPER MOTOR PRESS PLATE,SRV 600 V,5710,628,6338,MEDIUM,OTHER,1
280096590000,INTAKE TEMPERATURE PRESSURE SENSOR,SRV 250 AMT,427790,47056,474846,MEDIUM,ELECTRICAL,1
280106610000,T JUNCTION,SRV 600 V,5710,628,6338,MEDIUM,OTHER,1
280116610000,STEPPER MOTOR,SRK 800 RR,296600,32626,329226,MEDIUM,OTHER,1
280136680000,MOTOR CLAMP,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
280146900000,FRONT OIL RAIL,SRV 600 V,136890,15057,151947,FAST,OIL_FLUID,1
28014N590000,MAP TUBE,FORD 250,5710,628,6338,MEDIUM,OTHER,1
280156900000,REAR OIL RAIL,SRV 600 V,148300,16313,164613,FAST,OIL_FLUID,1
280166680000,SEALING RING,SRK 800 RR,5710,628,6338,FAST,FASTENER,1
280206900000,DESORPTION RUBBER HOSE ?,SRV 600 V,5710,628,6338,MEDIUM,OTHER,1
280216680000,SUPPLEMENTARY AIR PIPE,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280216900000,DESORPTION RUBBER HOSE ?,SRV 600 V,5710,628,6338,MEDIUM,OTHER,1
280226680000,SUPPLEMENTARY AIR PIPE CLAMP PLATE,SRK 800 RR,5710,628,6338,FAST,ELECTRICAL,1
280226900000,HIGH PRESSURE OIL PIPE ASSEMBLY,SRV 600 V,79860,8784,88644,FAST,OIL_FLUID,1
280236680000,O-RING,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280236900000,FUEL INJECTOR,SRV 600 V,330820,36390,367210,MEDIUM,OTHER,1
280246680010,PRESSURE SENSOR RUBBER HOSE ?,SRK 800 RR,5710,628,6338,MEDIUM,ELECTRICAL,1
280256680010,PRESSURE SENSOR SUPPORT ?,SRK 800 RR,5710,628,6338,MEDIUM,ELECTRICAL,1
280256900000,INTAKE PRESSURE SENSOR BRACKET,SRV 600 V,5710,628,6338,MEDIUM,ELECTRICAL,1
280266680000,RUBBER HOSE ?,SRK 800 RR,17120,1883,19003,MEDIUM,OTHER,1
280276680000,RUBBER HOSE ?,SRK 800 RR,11410,1255,12665,MEDIUM,OTHER,1
280306680000,DESORPTION RUBBER HOSE ?,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280316680000,DESORPTION RUBBER HOSE ?,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280336680000,DESORPTION RUBBER HOSE ?,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280346680000,DESORPTION RUBBER HOSE ?,SRK 800 RR,5710,628,6338,MEDIUM,OTHER,1
280346900000,CONNECTING PIPE BETWEEN THREE-WAY PIPE AND THROTTLE VALVE BODY ?,SRV 600 V,11410,1255,12665,MEDIUM,ENGINE,1
